date,hashtag,mentions,estimated_reach,sentiment_score,top_country
2025-05-02,#aiart,47908,250813,0.06,Spain
2024-06-29,#blockchain,194916,997266,-0.74,Australia
2024-07-31,#machinelearning,41432,199164,0.02,Usa
2025-03-26,#deeplearning,155846,500232,-0.7,Germany
2025-04-14,#sustainability,86433,413245,0.4,India
2025-01-10,#ai,192551,289154,-0.88,Canada
2024-10-30,#blockchain,75406,318454,-0.46,Mexico
2024-12-05,#aiart,75780,165565,-0.43,France
2025-03-20,#machinelearning,124685,611016,0.33,Japan
2024-08-06,#deeplearning,195970,971156,0.48,France
2025-01-03,#machinelearning,100460,367469,0.54,Canada
2024-09-04,#blockchain,100207,242062,0.36,Australia
2025-03-31,#blockchain,55567,217520,-0.35,Japan
2024-07-20,#machinelearning,165011,598871,0.04,Germany
2025-05-20,#aiart,10436,42711,-1.0,China
2025-05-16,#deeplearning,52515,135890,-0.98,South Africa
2024-06-06,#sustainability,114284,389652,-0.01,India
2025-01-04,#ai,132609,392891,0.24,China
2025-05-10,#sustainability,59736,201646,-0.92,Mexico
2024-10-12,#blockchain,98225,585413,0.18,Usa
2024-10-29,#sustainability,195343,709524,0.66,Italy
2024-11-04,#blockchain,185517,395213,0.76,Italy
2024-10-21,#aiart,24830,59687,-0.93,Indonesia
2024-08-07,#sustainability,183109,642249,-0.29,Germany
2024-10-04,#ai,114746,451955,0.84,South Africa
2024-08-23,#ai,162515,909709,0.13,Uk
2024-09-25,#ai,101988,452440,-0.12,South Africa
2024-06-18,#aiart,124806,595082,-0.32,China
2025-02-21,#blockchain,76977,443634,-0.78,South Africa
2024-10-23,#ai,169795,971920,0.91,Australia
2025-03-12,#aiart,189863,783775,-0.58,India
2025-03-14,#deeplearning,118051,227486,-0.23,Turkey
2025-02-02,#aiart,80008,327808,0.71,Uk
2025-05-14,#aiart,161505,795958,0.14,France
2025-03-04,#sustainability,102248,420562,-0.74,Brazil
2024-09-22,#aiart,148439,726203,-0.56,South Korea
2025-01-24,#machinelearning,10084,53045,0.85,Japan
2024-11-26,#deeplearning,32562,54241,-0.96,Mexico
2025-02-28,#sustainability,41233,63759,-0.89,France
2024-12-12,#blockchain,80595,166968,-0.63,Usa
2025-01-19,#deeplearning,160525,540690,0.83,India
2025-04-18,#blockchain,131136,578709,-0.89,Indonesia
2024-11-14,#machinelearning,156073,799073,0.61,Canada
2025-03-13,#sustainability,162236,656990,0.51,Uk
2024-09-27,#ai,121791,521622,0.5,Russia
2024-07-12,#ai,177110,691499,0.58,France
2025-02-20,#machinelearning,94261,513497,0.49,Nigeria
2025-01-15,#machinelearning,104294,317609,0.41,Canada
2025-04-13,#machinelearning,69430,367046,0.03,Indonesia
2024-09-19,#sustainability,58478,105670,0.92,Italy
2025-02-03,#deeplearning,122595,453118,0.09,Indonesia
2024-06-02,#aiart,152827,490961,0.78,China
2025-03-22,#machinelearning,141432,425637,-0.79,South Korea
2025-02-08,#ai,30473,71624,-0.22,Japan
2024-07-19,#machinelearning,85158,201438,-0.88,Germany
2024-10-28,#blockchain,32639,68364,-0.68,South Africa
2024-11-15,#blockchain,2945,12080,0.17,South Korea
2025-03-28,#blockchain,197479,678307,0.09,Russia
2025-03-29,#ai,6928,35358,-0.44,Germany
2024-11-26,#deeplearning,148423,740199,-0.28,Brazil
2024-12-27,#blockchain,63846,268198,0.03,South Africa
2024-06-23,#deeplearning,140655,497843,-0.74,Indonesia
2024-08-14,#blockchain,161822,516670,-0.82,Germany
2024-12-24,#aiart,190708,913693,-0.32,Russia
2024-10-11,#blockchain,32491,146079,-0.59,Brazil
2024-11-29,#blockchain,98071,482833,-0.93,France
2025-04-26,#aiart,137712,231752,-0.32,Germany
2024-10-30,#aiart,11789,29457,-0.42,South Africa
2025-02-14,#machinelearning,120376,654691,0.19,Nigeria
2025-01-22,#machinelearning,105077,176146,0.19,Italy
2024-11-06,#ai,182608,819937,-0.87,Italy
2025-01-18,#sustainability,187344,641451,0.54,Mexico
2024-07-02,#sustainability,165582,737412,-0.73,Italy
2024-06-08,#blockchain,163974,759764,0.39,Spain
2024-06-30,#aiart,98921,239643,0.54,Turkey
2025-05-24,#machinelearning,99079,207838,0.16,Russia
2024-07-08,#ai,23403,53937,-0.3,India
2024-11-24,#ai,53554,113193,0.18,France
2024-10-12,#deeplearning,143998,588811,0.46,Mexico
2024-06-27,#ai,39962,88221,-0.56,Italy
2024-08-17,#blockchain,55289,141478,-0.03,Spain
2024-12-11,#aiart,112139,419309,-0.6,South Africa
2024-09-02,#ai,148479,569748,-0.32,Egypt
2024-06-12,#sustainability,156024,912956,-0.89,Brazil
2024-12-09,#deeplearning,199877,788944,0.66,Uk
2024-10-30,#sustainability,153580,290002,0.59,Russia
2024-06-20,#ai,17603,49848,-0.66,South Korea
2024-07-13,#aiart,9077,51969,0.23,Australia
2024-06-26,#machinelearning,185670,639222,0.37,Mexico
2025-03-09,#ai,127563,406818,-0.73,Spain
2024-07-19,#blockchain,164631,270099,-0.4,Egypt
2024-10-02,#sustainability,52324,270840,0.81,Mexico
2025-03-06,#machinelearning,61069,279340,0.45,Spain
2025-04-18,#aiart,112378,547997,0.69,India
2024-07-18,#ai,140275,699164,0.48,Usa
2024-11-26,#blockchain,44696,228165,0.01,Egypt
2025-01-15,#aiart,110015,365371,-0.83,Australia
2025-01-18,#machinelearning,180580,1066760,-0.6,Usa
2025-03-30,#sustainability,79307,187465,0.47,Uk
2024-10-14,#aiart,136894,740186,0.81,South Africa
2024-08-23,#aiart,71245,361466,-0.21,Australia
2025-04-12,#machinelearning,47075,238904,0.31,Egypt
2025-01-10,#sustainability,81635,403291,-0.99,South Africa
2025-03-25,#deeplearning,86638,447264,0.5,Russia
2024-11-27,#blockchain,3068,5693,-0.75,Nigeria
2024-12-22,#blockchain,105510,351853,0.47,China
2025-03-26,#ai,67217,395890,0.42,Canada
2024-09-18,#ai,167922,856249,-0.15,Indonesia
2025-05-09,#aiart,138191,526927,-0.37,Usa
2024-11-03,#ai,100217,323171,0.45,Brazil
2024-12-06,#deeplearning,48374,162222,-0.17,Germany
2024-07-26,#blockchain,27938,66648,-0.59,South Africa
2024-09-29,#sustainability,99308,389997,0.58,Canada
2024-11-02,#aiart,70464,126407,-0.47,Spain
2024-09-30,#ai,74627,272278,-0.86,Mexico
2025-02-01,#ai,121095,242327,-0.44,Mexico
2025-04-24,#deeplearning,155865,344777,-0.76,Turkey
2025-02-27,#ai,111786,204678,0.56,Egypt
2024-05-28,#aiart,97158,304115,-0.84,Spain
2025-02-06,#machinelearning,69292,214601,0.4,India
2025-01-08,#machinelearning,165982,633017,0.49,India
2024-08-19,#sustainability,199901,602754,-0.35,Usa
2025-01-29,#aiart,94656,559915,-0.88,France
2024-10-17,#aiart,145054,482025,0.34,Spain
2024-08-01,#machinelearning,27732,158218,-0.15,Mexico
2025-02-22,#machinelearning,157818,498075,0.68,Indonesia
2024-11-02,#aiart,144711,452299,0.45,China
2024-10-23,#sustainability,119119,604655,-0.33,Russia
2025-02-26,#machinelearning,125965,518915,0.13,Russia
2024-12-04,#deeplearning,154157,440067,0.42,South Africa
2025-05-22,#machinelearning,175531,838701,0.56,Mexico
2025-02-17,#deeplearning,66151,328426,-0.71,Egypt
2025-05-14,#machinelearning,166477,368396,-0.28,Canada
2024-08-08,#deeplearning,35713,166109,0.62,South Korea
2024-10-09,#aiart,15938,25585,-0.7,Mexico
2025-01-31,#deeplearning,169003,453780,-0.85,South Africa
2025-03-16,#aiart,196289,348387,-0.7,Egypt
2025-01-08,#aiart,158675,754686,-0.65,Nigeria
2024-10-07,#machinelearning,61410,367858,0.53,China
2025-04-26,#ai,97441,568146,0.78,Australia
2025-05-17,#blockchain,132178,471634,-0.03,France
2025-01-30,#deeplearning,32988,80980,0.71,Canada
2024-12-10,#blockchain,49115,92424,-0.36,South Korea
2024-07-11,#ai,124702,733615,-0.71,China
2025-05-11,#sustainability,53709,144880,-0.82,Germany
2024-07-18,#deeplearning,136913,770664,-0.25,Germany
2025-03-29,#deeplearning,121381,521413,-0.51,China
2024-09-16,#machinelearning,74788,319426,-0.17,Germany
2024-06-03,#blockchain,160235,705691,0.5,Spain
2024-11-15,#ai,70627,325231,0.36,Russia
2025-04-05,#deeplearning,23602,70829,0.91,India
2024-09-20,#deeplearning,189467,687208,0.23,Brazil
2024-10-15,#deeplearning,192041,537303,-0.83,China
2025-02-15,#deeplearning,69854,375785,0.45,Italy
2025-03-06,#machinelearning,150441,362663,-0.2,Germany
2024-06-06,#aiart,147062,461203,-0.96,Uk
2024-06-06,#sustainability,199534,1152612,-0.26,Italy
2024-09-21,#aiart,82671,309979,-0.61,South Africa
2024-08-02,#sustainability,152827,869685,0.97,Russia
2025-02-25,#machinelearning,17827,79372,-0.63,Italy
2025-03-28,#machinelearning,55865,85550,-0.67,Canada
2024-07-29,#deeplearning,48306,152870,-0.72,Nigeria
2025-05-04,#blockchain,110780,230576,-0.5,Australia
2025-02-01,#deeplearning,83400,135312,0.24,Germany
2025-01-05,#ai,119780,463037,-0.4,Russia
2024-08-10,#blockchain,21087,82353,0.26,Spain
2024-10-10,#sustainability,92792,175591,0.74,South Africa
2024-12-13,#machinelearning,78202,170734,0.96,Egypt
2025-02-01,#deeplearning,180110,339552,-0.9,Japan
2024-11-24,#ai,156061,670622,-0.22,Indonesia
2024-08-25,#blockchain,188979,533245,-0.12,Russia
2024-11-17,#blockchain,4847,24325,-0.77,Japan
2025-05-21,#machinelearning,75932,244817,0.45,India
2024-10-01,#blockchain,68114,336556,0.3,France
2024-10-11,#aiart,105152,157912,-0.5,Germany
2025-02-23,#machinelearning,174681,846377,0.88,Germany
2024-12-09,#blockchain,75210,313652,0.18,France
2024-08-17,#blockchain,148967,340072,0.46,Egypt
2024-11-02,#deeplearning,161003,669708,-0.51,Japan
2024-07-05,#aiart,34724,62618,-0.84,Mexico
2024-10-16,#machinelearning,186086,762256,0.91,South Africa
2025-02-27,#machinelearning,129683,703446,0.83,India
2024-08-05,#sustainability,24106,138042,-0.54,Mexico
2025-01-22,#blockchain,172282,767949,0.28,South Korea
2025-05-17,#blockchain,65536,122271,-0.23,Germany
2024-11-11,#machinelearning,116900,438053,-0.97,Australia
2025-02-11,#deeplearning,74941,390721,-0.23,Australia
2024-10-03,#ai,121956,662607,0.87,South Africa
2025-02-08,#ai,160973,289527,-0.83,South Korea
2024-12-12,#sustainability,92456,479083,0.35,Turkey
2024-10-31,#blockchain,3267,12057,0.31,Uk
2024-12-15,#deeplearning,9909,19467,0.51,Australia
2024-07-07,#sustainability,132635,617301,0.63,Italy
2024-09-29,#sustainability,102271,357816,-0.82,Turkey
2024-06-07,#deeplearning,129489,634744,-0.58,Spain
2024-11-25,#ai,92744,512245,-0.04,Nigeria
2024-12-01,#deeplearning,27006,61943,0.5,Indonesia
2025-02-27,#aiart,63087,283523,-0.46,India
2024-10-08,#sustainability,2407,8134,-0.64,Italy
2025-01-16,#ai,122914,595306,0.41,Egypt
2024-10-28,#sustainability,59300,266155,0.23,Russia
2025-04-23,#aiart,169552,983496,-0.36,Nigeria
2024-12-16,#sustainability,155795,697114,0.79,France
2025-05-03,#sustainability,158569,933933,-0.95,Usa
2025-05-24,#blockchain,137493,722048,0.24,Spain
2024-12-15,#machinelearning,113485,324173,0.11,Japan
2024-11-29,#machinelearning,170676,400519,0.05,China
2024-07-15,#machinelearning,172633,759360,0.22,France
2025-03-27,#blockchain,8248,25776,-0.76,Egypt
2024-09-02,#blockchain,109155,367763,-0.59,South Korea
2024-11-12,#deeplearning,74869,310854,0.78,South Korea
2024-11-23,#machinelearning,164709,900401,-0.6,China
2025-03-04,#blockchain,33922,169683,0.77,Brazil
2024-11-17,#deeplearning,35786,207437,0.07,Russia
2024-12-31,#machinelearning,30914,101022,0.74,Japan
2024-10-27,#deeplearning,18151,84369,-0.76,Uk
2024-06-17,#sustainability,164395,484016,-0.42,India
2024-08-21,#blockchain,155967,593633,0.45,Egypt
2025-05-25,#blockchain,86954,344781,-0.09,Italy
2024-07-25,#ai,60838,113897,-0.76,Germany
2024-11-12,#blockchain,131562,334359,0.72,Nigeria
2024-08-24,#ai,101886,353900,0.27,Mexico
2025-02-24,#blockchain,66020,224851,0.12,Japan
2025-03-10,#aiart,75767,251398,-0.2,Nigeria
2024-10-13,#ai,130110,594470,-0.32,China
2024-08-20,#blockchain,52879,216902,-0.54,Uk
2024-07-03,#deeplearning,53252,96477,0.22,Australia
2024-09-28,#deeplearning,66892,354254,-0.8,China
2025-04-01,#machinelearning,160512,492316,-0.68,Uk
2024-12-17,#machinelearning,69047,247426,0.83,South Korea
2025-02-21,#sustainability,139887,640871,0.17,Spain
2024-10-22,#ai,186139,714829,0.24,Spain
2025-05-10,#blockchain,164480,707015,-0.18,Egypt
2025-03-12,#deeplearning,199536,604917,0.73,Egypt
2025-01-16,#ai,115808,334655,-0.08,Russia
2024-06-29,#deeplearning,60322,184277,-0.75,Germany
2024-09-08,#deeplearning,69871,204434,0.39,Usa
2024-12-22,#machinelearning,55309,246544,1.0,Russia
2025-04-26,#machinelearning,61124,315051,0.22,Russia
2024-12-06,#deeplearning,191842,520158,-0.57,India
2025-02-04,#aiart,199765,468699,-0.85,Egypt
2024-11-25,#deeplearning,134619,416834,-0.65,Brazil
2025-04-18,#sustainability,161137,387422,0.24,Russia
2025-02-22,#machinelearning,131355,543582,0.36,Australia
2025-03-17,#aiart,93383,205420,-0.37,China
2025-02-07,#deeplearning,18423,30651,-0.81,Japan
2024-12-25,#blockchain,117098,598868,0.23,South Korea
2024-11-28,#ai,186423,941956,0.19,Turkey
2024-08-04,#machinelearning,27601,133100,-0.11,Italy
2024-06-04,#ai,71666,152887,-0.47,Italy
2024-07-11,#ai,45946,147862,0.83,India
2024-10-23,#deeplearning,14298,73334,-0.35,Indonesia
2024-07-27,#sustainability,165974,808638,0.34,China
2025-04-16,#blockchain,129121,394794,-0.77,Indonesia
2025-01-29,#blockchain,21232,61565,0.68,Germany
2024-09-23,#machinelearning,46434,199088,0.79,Russia
2024-05-29,#aiart,57016,242200,-0.57,Brazil
2024-09-01,#sustainability,155289,875066,-0.98,Nigeria
2025-02-05,#deeplearning,190066,458002,0.71,Turkey
2024-11-01,#machinelearning,139441,793118,0.68,Russia
2024-12-31,#deeplearning,159728,455291,0.04,Egypt
2025-03-06,#sustainability,184809,368798,0.97,Australia
2024-11-10,#sustainability,40239,240635,-0.42,India
2024-11-27,#machinelearning,103573,225686,-0.38,South Africa
2025-01-18,#machinelearning,96216,189795,-0.59,China
2025-02-06,#sustainability,153537,805174,-0.1,Italy
2024-06-14,#sustainability,24325,99482,-0.96,South Korea
2025-05-02,#sustainability,149791,647394,0.45,Japan
2024-10-14,#sustainability,151721,547012,0.62,South Korea
2025-03-14,#blockchain,123750,490555,-0.63,Japan
2024-11-22,#sustainability,164001,768424,0.69,Brazil
2024-08-09,#machinelearning,35078,197957,0.57,South Korea
2025-02-27,#ai,35801,159055,-0.49,Turkey
2024-11-24,#deeplearning,104861,345237,-0.51,Mexico
2025-04-17,#sustainability,142075,573759,0.34,India
2024-11-11,#sustainability,129890,656644,0.38,India
2024-06-10,#ai,50029,119318,-0.56,Indonesia
2025-02-20,#deeplearning,193108,509323,-0.65,Mexico
2025-01-21,#ai,30692,95375,0.67,India
2024-06-01,#sustainability,11582,66988,-0.15,Brazil
2025-04-17,#machinelearning,9136,46037,0.82,Australia
2024-06-28,#machinelearning,151929,744533,-0.07,Japan
2025-02-17,#ai,118333,361314,0.47,Uk
2025-02-23,#blockchain,132056,526417,0.21,South Korea
2024-07-29,#machinelearning,187960,1031147,0.69,Italy
2025-02-05,#aiart,61806,246890,-0.48,Germany
2024-12-17,#sustainability,173342,822870,0.6,Canada
2024-09-14,#blockchain,8551,26405,-0.42,Uk
2024-07-01,#aiart,181608,273467,0.44,Usa
2024-08-29,#blockchain,97777,531715,-0.77,Brazil
2024-06-02,#deeplearning,99110,237773,0.43,Russia
2024-08-02,#machinelearning,45583,203088,-0.48,Usa
2025-02-24,#aiart,80600,397176,-0.13,Uk
2024-08-03,#sustainability,91348,364739,0.69,Brazil
2025-02-28,#sustainability,80804,205398,0.22,Spain
2024-06-24,#sustainability,152717,851124,0.28,Japan
2024-07-29,#deeplearning,102375,300873,0.75,Turkey
2025-01-08,#ai,180051,724995,-0.9,Russia
2025-05-26,#sustainability,183555,424707,0.91,Brazil
2024-07-07,#blockchain,143262,841122,-0.59,France
2024-05-29,#sustainability,18872,77945,0.76,Uk
2025-04-18,#blockchain,96918,389556,0.03,Brazil
2024-11-21,#sustainability,108889,601809,0.51,Uk
2024-10-19,#aiart,197263,439863,0.66,Russia
2024-07-01,#blockchain,151694,903619,-0.13,Indonesia
2024-09-06,#machinelearning,158855,712734,0.1,Germany
2025-01-06,#deeplearning,136667,308809,-0.66,Uk
2025-01-23,#deeplearning,49411,142249,0.36,Canada
2025-02-05,#aiart,179069,1067046,-0.19,Egypt
2025-05-13,#machinelearning,108539,168515,0.01,South Africa
2025-03-27,#ai,47167,261556,0.74,South Korea
2024-09-19,#deeplearning,99131,487613,-0.51,Australia
2024-06-17,#sustainability,5603,17908,0.44,Japan
2024-11-09,#ai,183039,886594,0.72,Brazil
2025-05-12,#machinelearning,140350,665465,-0.61,Germany
2024-09-04,#machinelearning,81946,142898,0.11,Spain
2025-02-01,#aiart,190678,324744,-0.09,Turkey
2025-04-20,#aiart,124293,299734,0.79,South Korea
2024-06-18,#sustainability,142099,410551,-0.32,Brazil
2025-02-22,#aiart,113197,267239,0.82,Italy
2024-11-25,#ai,36725,63233,-0.07,Spain
2025-01-27,#ai,122865,585174,0.23,Usa
2024-12-18,#deeplearning,193461,295952,-0.12,Uk
2024-10-23,#aiart,174646,950250,-0.91,China
2025-04-19,#deeplearning,61942,251804,0.45,Japan
2024-06-23,#blockchain,173053,484247,-0.43,South Korea
2025-02-17,#blockchain,101338,338008,0.82,Uk
2025-05-25,#blockchain,167470,895673,-0.48,Mexico
2024-11-24,#sustainability,69217,252348,0.86,Germany
2024-10-21,#machinelearning,164554,874883,0.22,South Korea
2024-07-01,#deeplearning,130153,224996,0.84,Turkey
2024-08-04,#sustainability,153585,386066,-0.69,Egypt
2025-05-03,#machinelearning,27955,55217,0.46,Indonesia
2024-07-31,#machinelearning,195081,688009,0.99,Canada
2024-06-02,#blockchain,136692,250865,0.11,France
2024-06-22,#machinelearning,69982,377757,0.82,Uk
2025-04-17,#machinelearning,156060,354210,-0.43,Canada
2025-01-19,#deeplearning,24914,136454,-0.4,China
2025-04-06,#aiart,109034,400404,0.21,Mexico
2024-08-11,#aiart,54474,109532,0.91,Italy
2025-03-13,#ai,82363,139698,0.14,Canada
2024-09-26,#machinelearning,189369,480680,-0.65,Nigeria
2025-01-01,#machinelearning,56634,98529,-0.59,Brazil
2024-10-09,#aiart,132901,639704,-0.5,Indonesia
2025-02-09,#aiart,143245,589114,0.89,Russia
2024-12-18,#aiart,43299,209563,0.74,France
2024-10-25,#sustainability,77047,136802,-0.43,Indonesia
2024-08-22,#sustainability,117683,530617,-0.42,France
2025-02-06,#ai,154762,478650,-0.3,Egypt
2025-05-08,#ai,30523,63877,-0.62,China
2024-07-14,#ai,194645,309203,-0.16,India
2024-08-03,#machinelearning,49837,183689,0.88,China
2025-01-29,#machinelearning,91677,384602,-0.15,Egypt
2025-02-11,#deeplearning,102305,611857,0.34,Uk
2024-07-13,#ai,30047,91266,-0.33,Australia
2025-04-04,#sustainability,11642,54229,0.75,Mexico
2024-11-14,#machinelearning,84791,227212,0.41,China
2025-04-11,#machinelearning,168484,612766,0.55,Canada
2024-06-05,#deeplearning,139925,234048,0.45,Nigeria
2025-04-09,#machinelearning,83819,189078,0.41,Russia
2024-11-04,#deeplearning,163772,553535,-0.29,Indonesia
2025-03-18,#ai,184421,899753,0.41,Italy
2024-09-13,#sustainability,185270,859151,-0.56,Mexico
2025-03-25,#deeplearning,172933,466749,0.43,Russia
2025-04-30,#sustainability,3571,17548,-0.25,Uk
2025-01-10,#deeplearning,32818,145938,0.84,Spain
2025-02-19,#ai,192899,1142898,0.25,Brazil
2025-05-07,#ai,151845,463373,0.14,India
2024-08-20,#blockchain,72299,328341,0.15,Australia
2024-07-19,#machinelearning,106839,587910,-0.55,Japan
2025-04-13,#blockchain,71970,390750,-0.66,South Africa
2024-12-11,#machinelearning,153017,724713,0.92,Germany
2025-02-22,#sustainability,189341,1043692,0.32,Spain
2025-02-16,#machinelearning,138045,325460,0.25,Germany
2025-04-15,#machinelearning,85216,153180,0.33,India
2024-10-28,#ai,140013,358587,-0.91,South Africa
2024-12-24,#deeplearning,7761,28520,-0.6,Spain
2024-11-14,#machinelearning,183503,655534,-0.96,Indonesia
2024-12-09,#aiart,150022,495746,-0.67,Turkey
2024-09-29,#blockchain,90061,219983,0.75,Egypt
2025-05-05,#machinelearning,33303,122848,-0.31,India
2024-10-20,#aiart,45694,184797,-0.32,France
2025-03-08,#ai,27150,124873,-0.75,Egypt
2024-07-18,#machinelearning,3611,18090,-0.98,China
2025-01-26,#machinelearning,185321,1014066,0.2,Spain
