Post_Date,Hashtag,Likes,Views,Shares
2022-01-24,#comedy,152626,1691423,11980
2022-01-24,#education,353517,1483481,41615
2022-01-24,#fashion,276044,2410258,18080
2022-01-24,#fitness,147410,636960,83963
2022-01-24,#gaming,477329,1904319,16741
2022-01-24,#tech,261333,1417619,28832
2022-01-24,#viral,342907,2770467,61778
2022-01-25,#challenge,363839,912055,15376
2022-01-25,#dance,160850,3459809,77013
2022-01-25,#education,482305,6361666,88158
2022-01-25,#fitness,87209,1304988,77931
2022-01-25,#gaming,191543,2047224,60305
2022-01-25,#music,624691,6022983,229963
2022-01-25,#tech,328693,3428187,57651
2022-01-26,#education,96042,4625228,96828
2022-01-26,#fashion,562324,4560877,80097
2022-01-26,#gaming,469335,2193984,14834
2022-01-26,#music,517583,3737929,38617
2022-01-26,#tech,103726,42222,76576
2022-01-26,#viral,86153,4080224,78490
2022-01-27,#challenge,285913,7447907,80574
2022-01-27,#education,557654,7027167,109627
2022-01-27,#fashion,5201,4592642,65853
2022-01-27,#music,320781,4038519,72443
2022-01-27,#tech,284049,1212616,75797
2022-01-28,#challenge,40490,137563,5847
2022-01-28,#dance,256833,4368296,21818
2022-01-28,#fitness,127067,1671364,2495
2022-01-28,#music,17240,2622948,46438
2022-01-29,#comedy,222648,891861,81518
2022-01-29,#dance,34713,794531,41353
2022-01-29,#education,958419,8212813,65954
2022-01-29,#gaming,150822,2990444,61460
2022-01-29,#tech,117855,1054049,67726
2022-01-30,#dance,184487,4901437,53526
2022-01-30,#fitness,333337,4253168,140780
2022-01-30,#tech,246513,3485025,4761
2022-01-31,#comedy,523895,7233976,120672
2022-01-31,#dance,324840,566681,68424
2022-01-31,#education,120632,885219,61893
2022-01-31,#fashion,425285,4567357,64520
2022-02-01,#challenge,746253,6602352,146486
2022-02-01,#comedy,450082,3638397,73662
2022-02-01,#dance,168521,2664292,48709
2022-02-01,#education,161337,2710942,11653
2022-02-01,#fashion,381998,3418485,46412
2022-02-01,#fitness,104947,468433,95399
2022-02-01,#tech,316401,3652853,92501
2022-02-02,#comedy,145318,4930465,39080
2022-02-02,#fashion,51824,3154154,6624
2022-02-02,#fitness,283970,3371495,78225
2022-02-02,#gaming,293915,3561668,74678
2022-02-02,#music,327312,3824375,21152
2022-02-02,#tech,320299,8426141,109485
2022-02-02,#viral,177369,540884,13503
2022-02-03,#challenge,438609,4139390,12994
2022-02-03,#dance,453772,2414079,12971
2022-02-03,#fitness,719687,2818194,93845
2022-02-03,#gaming,129992,4865554,3291
2022-02-03,#music,770867,8645691,134966
2022-02-04,#challenge,195846,1707151,61196
2022-02-04,#comedy,387248,4988430,73957
2022-02-04,#education,472554,2688752,2742
2022-02-04,#music,159475,5560352,45262
2022-02-04,#viral,478208,1836143,99728
2022-02-05,#comedy,297473,2541850,72482
2022-02-05,#dance,263829,4159829,77015
2022-02-05,#fashion,183879,1437126,97221
2022-02-05,#fitness,701118,5003633,71033
2022-02-06,#challenge,465551,258238,15136
2022-02-06,#comedy,87112,3800628,16845
2022-02-06,#dance,828517,8119942,84320
2022-02-06,#education,433852,1020700,77135
2022-02-06,#fashion,227995,2803598,2103
2022-02-06,#fitness,385332,3822229,48139
2022-02-06,#music,400017,2825065,84642
2022-02-07,#comedy,487241,848990,30833
2022-02-07,#fashion,404950,2611897,182687
2022-02-07,#gaming,1201957,7888916,250705
2022-02-07,#music,73738,3655004,6675
2022-02-07,#viral,362421,3533891,44888
2022-02-08,#challenge,335416,3201846,50986
2022-02-08,#comedy,783866,4884788,65611
2022-02-08,#fitness,54523,1913736,2152
2022-02-08,#tech,37884,178206,42111
2022-02-09,#dance,121852,2921498,83407
2022-02-09,#gaming,399450,1459984,4838
2022-02-09,#music,417328,1963015,41576
2022-02-09,#tech,153744,29712,3574
2022-02-10,#challenge,337654,4033514,97426
2022-02-10,#dance,197896,140078,13399
2022-02-10,#fitness,209479,2597115,59884
2022-02-10,#gaming,328596,709873,75373
2022-02-10,#music,175643,4796425,16858
2022-02-10,#tech,50716,2684984,76232
2022-02-11,#challenge,166118,902229,61721
2022-02-11,#comedy,279007,491577,74786
2022-02-11,#education,31908,1688470,32258
2022-02-11,#fashion,366072,4914854,63088
2022-02-11,#fitness,852340,4952101,149537
2022-02-11,#music,290694,412999,82634
2022-02-11,#tech,157281,1405439,33939
2022-02-11,#viral,408446,908633,85164
2022-02-12,#challenge,638109,4573180,103500
2022-02-12,#comedy,114184,1599830,22013
2022-02-12,#dance,739995,2997724,59289
2022-02-12,#fashion,417313,2750057,58474
2022-02-12,#tech,7855,516620,54958
2022-02-12,#viral,22118,2853605,24141
2022-02-13,#challenge,339557,3171066,4006
2022-02-13,#comedy,11304,4185185,89974
2022-02-13,#education,97022,2440898,53393
2022-02-13,#fashion,291080,4153216,70980
2022-02-13,#fitness,326186,2435410,1739
2022-02-13,#gaming,637098,8700200,184288
2022-02-13,#music,275405,3428385,86829
2022-02-13,#tech,437421,8379748,109249
2022-02-13,#viral,267244,4887642,25145
2022-02-14,#comedy,142790,1201764,37404
2022-02-14,#dance,167012,2045438,47179
2022-02-14,#education,103502,2599368,74019
2022-02-14,#fashion,356591,5393153,52501
2022-02-14,#gaming,304621,3725275,39355
2022-02-14,#music,394401,3946834,54346
2022-02-14,#tech,361498,5597155,66758
2022-02-15,#challenge,205376,478538,88710
2022-02-15,#comedy,111838,3929151,69221
2022-02-15,#dance,290041,2676023,33134
2022-02-15,#education,813616,7076541,97026
2022-02-15,#music,209463,569180,31428
2022-02-15,#viral,732906,8688160,121285
2022-02-16,#dance,121317,3873103,4727
2022-02-16,#fashion,338084,293601,69736
2022-02-16,#tech,496755,540051,33448
2022-02-16,#viral,334540,2202632,11889
2022-02-17,#challenge,248275,3863014,65817
2022-02-17,#comedy,916872,6818210,56803
2022-02-17,#dance,270449,3445560,55139
2022-02-17,#gaming,480156,1334444,75315
2022-02-17,#tech,364476,2335723,67740
2022-02-17,#viral,329895,2805537,38661
2022-02-18,#education,485972,6401070,110913
2022-02-18,#fashion,466270,7483254,172430
2022-02-18,#fitness,813692,4927551,142929
2022-02-18,#music,370294,3289439,79847
2022-02-18,#tech,158336,4426725,67298
2022-02-18,#viral,302466,3712060,63802
2022-02-19,#challenge,490575,2994188,102336
2022-02-19,#dance,206052,2663152,32784
2022-02-19,#education,359414,223646,27578
2022-02-19,#fashion,78724,3695445,76615
2022-02-19,#tech,540544,8642340,204062
2022-02-20,#challenge,311114,4363793,69538
2022-02-20,#comedy,200375,4914869,2393
2022-02-20,#dance,113243,4898223,97423
2022-02-20,#fashion,39790,1358058,54189
2022-02-20,#fitness,418310,6825752,116943
2022-02-20,#tech,443042,4203091,43058
2022-02-21,#challenge,282426,4780227,29708
2022-02-21,#comedy,453828,2725186,56158
2022-02-21,#gaming,391683,1531926,51624
2022-02-21,#music,192610,4909699,29375
2022-02-21,#viral,427488,2098847,31324
2022-02-22,#challenge,440738,4007218,42840
2022-02-22,#education,449219,4428548,107593
2022-02-22,#fitness,301535,4392368,48079
2022-02-22,#tech,263951,1044357,69315
2022-02-23,#challenge,254612,750309,13280
2022-02-23,#dance,398034,2344865,18988
2022-02-23,#education,217743,839571,99857
2022-02-23,#fashion,328103,4298048,148366
2022-02-23,#music,238257,3707557,87810
2022-02-23,#tech,290747,2783900,64651
2022-02-24,#challenge,488160,5032823,106726
2022-02-24,#education,121908,3182419,83869
2022-02-24,#gaming,220593,3432236,79638
2022-02-24,#music,215416,7415595,12137
2022-02-24,#viral,307662,1538823,59624
2022-02-25,#comedy,307987,5977668,126675
2022-02-25,#education,911975,7918195,131772
2022-02-25,#fashion,498878,4414650,2231
2022-02-25,#fitness,457777,4273890,53428
2022-02-25,#tech,328582,4726748,45403
2022-02-26,#education,419969,2417241,78050
2022-02-26,#fashion,729043,5926569,118418
2022-02-26,#gaming,54955,3559212,38056
2022-02-26,#tech,488878,4363523,8230
2022-02-26,#viral,192002,3102190,40911
2022-02-27,#dance,381320,702173,60666
2022-02-27,#fashion,425610,563991,63863
2022-02-27,#music,51007,3033270,21168
2022-02-28,#comedy,168174,1178485,81549
2022-02-28,#dance,223508,1574227,109326
2022-02-28,#education,35620,1849829,88979
2022-02-28,#music,468536,175519,73583
2022-02-28,#tech,171073,4842053,74732
2022-03-01,#comedy,264492,2948672,72198
2022-03-01,#dance,391879,2259868,39814
2022-03-01,#education,117882,7288813,132813
2022-03-01,#fashion,417154,2367290,30197
2022-03-01,#fitness,195911,3856845,46850
2022-03-01,#gaming,82540,4581334,38617
2022-03-01,#music,428789,3683276,65984
2022-03-02,#education,129528,5887167,81047
2022-03-02,#gaming,317656,6081393,56497
2022-03-02,#music,245856,2528462,95659
2022-03-03,#challenge,462818,378801,74567
2022-03-03,#education,847876,7933706,100836
2022-03-03,#fitness,471908,3130764,48103
2022-03-03,#tech,395765,4089138,32976
2022-03-04,#gaming,228853,3287015,73672
2022-03-04,#viral,198443,5545533,141487
2022-03-05,#challenge,549396,7723108,40784
2022-03-05,#dance,443176,3761264,12191
2022-03-05,#education,493114,2970301,58206
2022-03-05,#fashion,579044,6275700,130340
2022-03-05,#fitness,333744,4713541,29836
2022-03-05,#music,34868,1259132,47819
2022-03-05,#tech,405655,4305709,44565
2022-03-06,#comedy,254470,2331434,63786
2022-03-06,#dance,658753,11576937,146539
2022-03-06,#fitness,145000,1595568,70495
2022-03-06,#gaming,799231,2824488,82328
2022-03-06,#viral,465921,4070744,106738
2022-03-07,#comedy,1111744,5290654,91200
2022-03-07,#education,150966,1582145,167710
2022-03-07,#fashion,381858,314380,20552
2022-03-07,#fitness,285362,3142963,178783
2022-03-07,#music,171092,6637788,110443
2022-03-07,#tech,39463,4288053,99816
2022-03-07,#viral,690861,7238718,47098
2022-03-08,#challenge,134040,3327212,6283
2022-03-08,#dance,238566,1603866,18807
2022-03-08,#education,564710,8482549,205043
2022-03-08,#fashion,481727,4043078,95511
2022-03-08,#fitness,432944,6767378,112004
2022-03-08,#music,751171,2766620,106562
2022-03-08,#tech,357734,1722013,70729
2022-03-08,#viral,507037,7092019,182371
2022-03-09,#challenge,83217,514808,39130
2022-03-09,#comedy,232504,1557711,92705
2022-03-09,#dance,272935,3630550,83695
2022-03-09,#music,439047,2754301,21451
2022-03-09,#viral,560722,7505881,77060
2022-03-10,#challenge,250794,71395,24677
2022-03-10,#dance,387203,2064776,7684
2022-03-10,#fitness,419301,8375800,62595
2022-03-10,#music,236921,7273952,180046
2022-03-10,#tech,113245,4975026,73842
2022-03-11,#challenge,72455,3478951,68320
2022-03-11,#education,324674,503484,53727
2022-03-11,#fashion,186319,279023,64408
2022-03-11,#gaming,339320,4155287,121309
2022-03-11,#music,777285,11729151,144315
2022-03-11,#tech,115776,3270361,61334
2022-03-12,#challenge,282053,784742,19133
2022-03-12,#education,149169,2400993,86258
2022-03-12,#fashion,551561,3355795,99528
2022-03-12,#fitness,227648,1264685,29351
2022-03-12,#gaming,428316,107030,72576
2022-03-12,#tech,281987,4478244,64590
2022-03-12,#viral,113659,1816000,22679
2022-03-13,#challenge,386432,3079492,168760
2022-03-13,#dance,205017,3524578,50107
2022-03-13,#fashion,291395,4856986,99817
2022-03-13,#gaming,127644,3204024,69855
2022-03-13,#viral,425083,1375455,93721
2022-03-14,#gaming,312098,6545750,160810
2022-03-14,#tech,454473,1587926,51082
2022-03-15,#challenge,366527,4573261,58722
2022-03-15,#viral,336481,660930,11129
2022-03-16,#education,223968,3332289,61852
2022-03-16,#fitness,87418,3932748,69326
2022-03-16,#viral,384888,4470370,119714
2022-03-17,#challenge,20284,2893640,70366
2022-03-17,#dance,786006,1011252,62026
2022-03-17,#education,223770,235262,59170
2022-03-17,#fashion,790744,1774171,54389
2022-03-17,#gaming,480557,8680067,95985
2022-03-17,#tech,487730,2964544,97256
2022-03-17,#viral,416382,4397591,88301
2022-03-18,#viral,403999,3837633,11069
2022-03-19,#challenge,185171,153188,99287
2022-03-19,#fitness,288470,2309871,79217
2022-03-19,#music,260133,2722178,32788
2022-03-19,#tech,449057,3825393,58906
2022-03-19,#viral,161930,1452698,17928
2022-03-20,#challenge,551376,1082587,138645
2022-03-20,#dance,224780,3849789,39046
2022-03-20,#fitness,458518,2106161,62036
2022-03-20,#music,1089494,7982684,81208
2022-03-20,#tech,35801,1357187,70630
2022-03-20,#viral,278905,3294369,91660
2022-03-21,#challenge,533634,7125546,21403
2022-03-21,#education,316236,4431420,20710
2022-03-21,#fitness,137342,1173157,95328
2022-03-21,#viral,801251,6862607,171472
2022-03-22,#comedy,156164,1365655,84930
2022-03-22,#fashion,22683,2555232,19211
2022-03-22,#fitness,499874,1917861,92567
2022-03-22,#music,246703,7597368,106662
2022-03-22,#viral,73511,4121250,93273
2022-03-23,#challenge,293620,3750817,72204
2022-03-23,#education,354936,5347544,79353
2022-03-23,#fitness,548179,8088936,50801
2022-03-23,#music,347482,17826,13497
2022-03-23,#tech,376672,4501262,46465
2022-03-24,#challenge,516483,7139977,187652
2022-03-24,#comedy,718445,2280375,98157
2022-03-24,#dance,447160,2994745,13987
2022-03-24,#education,456441,7730986,124892
2022-03-24,#tech,334822,144060,18895
2022-03-25,#comedy,321676,6536422,98367
2022-03-25,#education,313064,354097,85802
2022-03-25,#fashion,693238,7979329,151961
2022-03-25,#fitness,282996,4421041,32876
2022-03-25,#gaming,165482,360483,18721
2022-03-25,#music,245867,3762415,62399
2022-03-25,#tech,242099,1414029,62896
2022-03-26,#dance,211316,3988715,4804
2022-03-26,#education,182675,3839951,74863
2022-03-26,#tech,77092,921025,85563
2022-03-27,#dance,693093,5371132,86318
2022-03-27,#fitness,377258,160874,84601
2022-03-27,#gaming,158956,497423,68044
2022-03-28,#challenge,163927,3429630,73040
2022-03-28,#comedy,182518,4821034,97479
2022-03-28,#education,396843,322957,98493
2022-03-28,#fashion,373266,5748269,27939
2022-03-28,#fitness,36011,1153858,15306
2022-03-28,#music,643652,4413137,87346
2022-03-28,#tech,223542,1113796,59380
2022-03-29,#challenge,490487,9076554,117216
2022-03-29,#education,209749,2506158,55250
2022-03-29,#fashion,83744,4319494,83078
2022-03-29,#fitness,340428,4141357,36529
2022-03-29,#gaming,246185,3938926,99069
2022-03-29,#tech,340433,128356,58461
2022-03-30,#comedy,167756,195578,43245
2022-03-30,#gaming,338911,3428164,99243
2022-03-30,#music,898137,6723657,207963
2022-03-30,#viral,193598,2126536,42420
2022-03-31,#comedy,325635,1896555,90256
2022-03-31,#education,535625,7219319,44057
2022-03-31,#fashion,409136,752874,81870
2022-03-31,#gaming,72137,2930604,89326
2022-04-01,#dance,762432,6542293,207628
2022-04-01,#fashion,235903,4201548,65461
2022-04-01,#fitness,8333,3716784,58793
2022-04-01,#gaming,347996,1304797,28393
2022-04-01,#music,32222,3823345,64447
2022-04-02,#challenge,151082,2422046,35275
2022-04-02,#gaming,496261,5313434,49964
2022-04-03,#dance,247479,772421,23789
2022-04-03,#education,706070,7414561,101687
2022-04-03,#fitness,185370,1322682,26878
2022-04-03,#gaming,108781,1942872,71823
2022-04-03,#viral,352894,2476219,54154
2022-04-04,#challenge,305356,933613,62697
2022-04-04,#dance,216875,2595241,43249
2022-04-04,#fashion,96203,2317238,65181
2022-04-04,#gaming,412137,4341471,79329
2022-04-05,#dance,168202,3619985,97388
2022-04-05,#education,142354,3999565,67251
2022-04-05,#fitness,361715,1058506,51528
2022-04-05,#gaming,924543,10767789,88919
2022-04-05,#tech,58018,1143848,37436
2022-04-06,#dance,32506,3305011,56465
2022-04-06,#education,392270,6908957,194736
2022-04-06,#fitness,498494,8185067,140141
2022-04-06,#gaming,175627,107075,91997
2022-04-06,#viral,943417,3999442,145055
2022-04-07,#challenge,845901,6009972,174609
2022-04-07,#dance,342163,3831295,18158
2022-04-08,#challenge,405561,5981766,128140
2022-04-08,#comedy,313554,186228,35669
2022-04-08,#dance,440910,552118,55306
2022-04-08,#education,194879,964498,76029
2022-04-08,#fitness,343059,1752782,44339
2022-04-08,#gaming,440705,2383029,40948
2022-04-08,#tech,388944,1357441,62108
2022-04-09,#challenge,574895,5194780,48964
2022-04-09,#fitness,709890,6782697,140663
2022-04-09,#viral,121205,1985675,5696
2022-04-10,#comedy,424840,3304691,37642
2022-04-10,#dance,308133,4707489,52155
2022-04-10,#education,197367,4854055,55292
2022-04-10,#fitness,547720,4715839,143679
2022-04-10,#tech,286844,7611649,97887
2022-04-10,#viral,180551,3709713,28942
2022-04-11,#challenge,181352,1476558,24958
2022-04-11,#comedy,160940,4629977,2872
2022-04-11,#education,401209,233403,43595
2022-04-11,#fitness,76519,4718747,2851
2022-04-11,#music,126346,4221706,6521
2022-04-12,#dance,413191,4685614,44562
2022-04-12,#education,752435,3469835,77512
2022-04-12,#fashion,499309,1737194,81979
2022-04-12,#tech,82270,116354,22120
2022-04-13,#education,1635,4687224,16037
2022-04-13,#tech,256848,314272,89947
2022-04-14,#challenge,608586,1689539,58031
2022-04-14,#gaming,80465,2996758,74505
2022-04-14,#music,317765,1788507,72441
2022-04-14,#tech,174033,191000,5711
2022-04-14,#viral,72881,3514325,13919
2022-04-15,#challenge,118493,5202384,44438
2022-04-15,#dance,381211,1200639,2574
2022-04-15,#education,55352,3441323,47464
2022-04-15,#fashion,344123,1335761,4329
2022-04-15,#music,325404,141033,4011
2022-04-15,#tech,481073,6110580,104566
2022-04-15,#viral,594995,5788745,121076
2022-04-16,#music,483615,3982208,70671
2022-04-16,#tech,308835,3982321,45998
2022-04-16,#viral,40363,493921,16844
2022-04-17,#comedy,305353,3328075,8424
2022-04-17,#education,553178,6203910,116468
2022-04-17,#fashion,52742,4295107,18986
2022-04-17,#music,324095,2905718,73361
2022-04-17,#viral,93657,4318612,95512
2022-04-18,#challenge,408240,940572,54144
2022-04-18,#comedy,343953,1159220,14008
2022-04-18,#fashion,330809,4802129,20951
2022-04-18,#fitness,655604,7377831,92403
2022-04-18,#music,106702,3438856,82635
2022-04-18,#tech,32587,4362872,30482
2022-04-19,#challenge,546035,6656849,77408
2022-04-19,#comedy,1027266,5783858,171774
2022-04-19,#dance,433256,4312274,8712
2022-04-19,#fitness,845461,7507613,163244
2022-04-19,#music,838515,4488620,25514
2022-04-19,#viral,113979,3261233,8547
2022-04-20,#challenge,159720,712323,86640
2022-04-20,#fashion,430030,2729253,34573
2022-04-20,#tech,432100,1521023,144439
2022-04-21,#comedy,435936,994341,50179
2022-04-21,#dance,423291,4767251,97889
2022-04-21,#gaming,237702,872093,32141
2022-04-21,#viral,1051584,11279014,227470
2022-04-22,#challenge,330734,2269087,125900
2022-04-22,#comedy,496838,4175263,46286
2022-04-22,#fashion,533892,5441083,165370
2022-04-22,#fitness,346558,348322,13640
2022-04-23,#challenge,361357,3704693,70236
2022-04-23,#dance,3213,111610,71922
2022-04-23,#fitness,247730,4822353,44555
2022-04-23,#viral,316213,264350,37185
2022-04-24,#challenge,110536,1890827,55270
2022-04-24,#fashion,637853,1340842,113276
2022-04-24,#music,1082045,4749783,150512
2022-04-25,#dance,434230,1971595,19189
2022-04-25,#fashion,271304,4165262,50757
2022-04-26,#challenge,321396,4755094,15678
2022-04-26,#dance,201881,4959895,18714
2022-04-26,#fashion,790870,6054065,118798
2022-04-26,#tech,649655,4917887,89635
2022-04-27,#challenge,105917,2459556,66293
2022-04-27,#comedy,336015,2582163,60643
2022-04-27,#fashion,301736,842477,68814
2022-04-27,#gaming,294121,2254522,86843
2022-04-27,#music,482104,2471029,23418
2022-04-27,#viral,498977,333545,52685
2022-04-28,#challenge,41916,888391,38940
2022-04-28,#comedy,98430,2168867,83970
2022-04-28,#dance,434086,800596,82037
2022-04-28,#education,130632,2780722,4458
2022-04-28,#gaming,156713,297130,2924
2022-04-28,#music,80415,2041432,146204
2022-04-28,#viral,330555,4388298,48407
2022-04-29,#dance,312854,4385439,58495
2022-04-29,#education,349050,3957723,99451
2022-04-29,#music,50531,1180565,95541
2022-04-30,#challenge,386709,3197157,33943
2022-04-30,#comedy,295452,4336145,2342
2022-04-30,#dance,266261,1111002,22269
2022-04-30,#fashion,17758,3368170,93392
2022-04-30,#fitness,351497,6074259,16272
2022-04-30,#music,402011,1421637,97806
2022-04-30,#tech,485447,362721,53099
2022-05-01,#challenge,314068,513589,81740
2022-05-01,#dance,156292,2214561,18753
2022-05-01,#gaming,119192,4636106,74078
2022-05-01,#tech,394633,1725937,84477
2022-05-01,#viral,368126,2820538,49957
2022-05-02,#challenge,499054,3521257,62073
2022-05-02,#dance,366143,237146,43936
2022-05-02,#fitness,801959,3719699,108480
2022-05-02,#tech,239084,3740619,56082
2022-05-03,#comedy,349304,1111363,23955
2022-05-03,#fitness,70797,6652616,30889
2022-05-03,#gaming,799247,1722967,75619
2022-05-03,#music,357032,800884,15074
2022-05-03,#viral,528228,3122682,113810
2022-05-04,#education,378257,2500332,118722
2022-05-04,#fashion,51649,3587110,89478
2022-05-04,#fitness,108961,3084289,56261
2022-05-04,#gaming,911615,8726780,199333
2022-05-04,#music,299852,551999,90557
2022-05-04,#tech,332925,1995022,75328
2022-05-04,#viral,89948,1606939,85169
2022-05-05,#challenge,161319,100506,17132
2022-05-05,#education,432244,4440766,61567
2022-05-05,#fashion,361247,2207974,47396
2022-05-05,#gaming,241357,2258063,49321
2022-05-05,#music,494378,4003544,79405
2022-05-05,#tech,135115,1563039,16789
2022-05-05,#viral,274119,994627,14486
2022-05-06,#dance,416629,2392740,25611
2022-05-06,#education,31691,2816091,13582
2022-05-06,#fashion,498590,4252239,102207
2022-05-06,#fitness,128560,4956932,68871
2022-05-06,#viral,724732,6099282,128071
2022-05-07,#challenge,9345,1277967,48427
2022-05-07,#education,440739,2367228,70043
2022-05-07,#fashion,184294,1921116,14637
2022-05-07,#gaming,301322,665714,55816
2022-05-07,#tech,423463,3502729,33243
2022-05-07,#viral,786370,5828798,83901
2022-05-08,#comedy,140297,31732,38920
2022-05-08,#education,408196,5311697,109251
2022-05-08,#fashion,186125,4981601,137715
2022-05-08,#fitness,434933,264136,9642
2022-05-08,#gaming,778745,6080145,24475
2022-05-08,#viral,389654,3661315,63439
2022-05-09,#comedy,250797,1135725,3791
2022-05-09,#education,348357,1943478,94530
2022-05-09,#gaming,389783,4210453,60019
2022-05-10,#challenge,116995,434662,44116
2022-05-10,#comedy,322686,1263647,75202
2022-05-10,#dance,51600,3526448,83324
2022-05-10,#fitness,15408,1535141,23087
2022-05-10,#gaming,48326,1081777,42923
2022-05-11,#challenge,722133,4758386,76915
2022-05-11,#dance,590089,4457488,130862
2022-05-11,#education,403675,7586221,68714
2022-05-11,#fashion,309982,1083140,34255
2022-05-11,#music,536626,1277499,47795
2022-05-11,#tech,367221,378803,69287
2022-05-12,#comedy,578499,7430501,59612
2022-05-12,#fashion,131318,231868,92253
2022-05-12,#fitness,362820,2271759,34300
2022-05-12,#tech,177389,780047,26953
2022-05-13,#challenge,551302,7338346,224737
